"GSM820048" "GSM820049" "GSM820050" "GSM820051" "GSM820052" "GSM820053" "GSM820054" "GSM820055" "GSM820056" "GSM820057" "GSM820058" "GSM820059" "GSM820060" "GSM820061" "GSM820062" "GSM820063" "GSM820064" "GSM820065" "GSM820066" "GSM820067" "GSM820068" "GSM820069" "GSM820070" "GSM820071" "GSM820072" "GSM820073" "GSM820074" "GSM820075" "GSM820076" "GSM820077" "GSM820078" "GSM820079" "GSM820080" "GSM820081" "GSM820082" "GSM820083" "GSM820084" "GSM820085" "GSM820086" "GSM820087" "GSM820088" "GSM820089" "GSM820090" "GSM820091" "GSM820092" "GSM820093" "GSM820094" "GSM820095" "GSM820096" "GSM820097" "GSM820098" "GSM820099" "GSM820100" "GSM820101" "GSM820102" "GSM820103" "GSM820104" "GSM820105" "GSM820106" "GSM820107" "GSM820108" "GSM820109" "GSM820110" "GSM820111" "GSM820112" "GSM820113" "GSM820114" "GSM820115" "GSM820116" "GSM820117" "GSM820118" "GSM820119" "GSM820120" "GSM820121" "GSM820122" "GSM820123" "GSM820124" "GSM820125" "GSM820126" "GSM820127" "GSM820128" "GSM820129" "GSM820130" "GSM820131" "GSM820132" "GSM820133" "GSM820134" "GSM820135" "GSM820136" "GSM820137"
"218718_at" 457.8 230.8 299.7 293 467.5 273.2 715.9 424.7 490 596.7 370.3 994.2 366.5 1371.5 279.5 334.5 279.7 549.1 364.7 557.6 194.1 212.4 205.4 403.2 2066.4 333.7 600.1 306.4 927.2 991.8 328.5 166.4 286.9 1048 458.3 1645.9 718.8 798.8 404.6 557.3 761.2 314.8 1537.1 701.3 511.1 301.1 683.5 512.6 672.4 748.8 444.8 1231.1 1276.5 634.5 714 322.4 1330.4 40.2 199.2 596.3 465.4 1109.8 614.3 320.5 2012.7 505.2 489.9 389.6 771.5 751.4 280.4 654.4 324.7 592.2 385.4 568.4 467.9 355.6 237.2 919.4 285.2 476.4 419.3 441.1 222.5 901.4 376.3 746.4 694.2 170.2
"229358_at" 375.8 182.4 47.8 112.9 296.4 96.1 196.4 35 101.5 159.2 63.9 13.5 77.7 58.4 290.2 52.4 424.3 263.9 246.9 48.2 63.7 275.2 297.8 46 20.3 195 53.5 62.7 17.2 208 290.9 193.7 56.5 210.6 17.7 66.9 665.9 339.2 268.2 343.9 212 126.5 88.9 87.5 96 126.6 436.4 382.7 60.9 140.3 37.9 22.9 90.7 95.5 18.9 210.5 46.7 3.5 132.6 88 403.9 63.5 199.4 203.4 44 199.2 155.6 284.2 41.1 125 34.2 93.7 364 17.7 13.5 217.8 239.8 111 4.8 105.7 78.1 321 97.9 90.3 283.2 225.8 221.6 27.1 160.7 394.9
"211597_s_at" 163.2 169.9 177.6 103.8 236.6 80.4 290.8 235.7 214.2 263.3 65.3 304.6 171.1 614.2 75.9 89.8 84.3 221.4 130.9 399.4 107.6 43.9 16.9 178.6 726.1 90.8 214.8 216.2 791.5 712.1 260.7 49.7 138.3 609.3 79.8 1349.8 321.4 258.4 160.9 462 845.9 228.2 1026 698.2 274.9 85.4 249.6 151.9 343.5 205.3 343.8 872.6 729.5 273.7 134.7 109.1 600.4 27.6 86.4 120 305 625.3 378.1 101 974 292.5 218.3 82.7 527.7 289 325.7 552.2 101 345.6 341.7 176.6 300.2 212 104.2 1411.3 176 200.6 114.1 317.2 144 702.6 187.6 331.1 429.8 85.6
"238542_at" 44.6 25.8 80.1 123.1 23.8 57.7 30.5 50.1 121.5 26 25.8 110.7 89.2 48 27.1 73.9 37.6 47.5 5.7 183.7 57.9 5.6 42.8 29.6 43.2 55.3 34.9 69.3 53.1 57.4 86.4 43.8 61.3 19.3 29.4 110.4 18.7 11 28.8 21 113 25.3 114 89.5 31.7 29.5 37.5 67.2 169.2 18.6 104.9 165.6 55.9 18.4 64.8 30.1 95.8 174.5 19 57.9 27.3 39.4 47.7 29.9 30.1 22.2 203.7 22.2 28.2 23.9 167.7 233.6 18.1 168.3 49.6 32.3 26.6 25.5 81.2 45.8 310 26.9 17.7 179.1 14 43 153.8 63.7 18.6 31.5
"226695_at" 211.8 62.2 178.1 280 171.1 157 286.7 251.1 376.2 237.6 65.2 701.2 260.4 707.2 61.4 96.4 136.9 162.7 135.1 406.8 82.1 37 40 285.3 833.7 60.3 220.4 264.9 602 674.3 206.9 39.4 194.3 392.7 145.5 816.1 167.3 201.8 101.9 268.9 483.5 187.9 718.6 434.1 209.4 171.4 210.5 106.2 654.9 162.9 248.3 496.8 799.9 163.3 1126.5 147 821.8 142.5 65.4 263.5 166.6 848.7 212.3 69.6 633.5 150.2 171.5 51.5 239.9 379.4 285.2 360 62.6 244 198.7 160.7 181.8 252.2 204.3 462.6 317.3 145 203.9 402.5 46.1 467.2 122.9 735.4 459.1 31.5
"232040_at" 74.8 47.6 16.4 17.2 68.7 56.1 87.2 16.5 35.4 45.4 68.6 21.9 15.9 30.2 135.5 40.4 81 97.8 41.7 18 29.4 94.7 45.4 34.9 10.5 65.8 118.7 9 7 64.2 64.9 37.6 28.5 58.5 43.8 5.3 63 42 89.5 25.7 32.8 62.2 16.3 26.9 38.1 72.5 54.2 59.8 16 17 8.2 4.5 35.7 87.9 4.1 112.1 19.5 30.8 40 8.6 61.2 11.5 27.7 57.9 14.5 93.5 45.9 39.9 42 74.7 27.8 15.2 71.2 3.3 22.3 65.7 38.4 69.3 3.6 29.9 8.9 90.7 36.4 31.6 72.2 56.2 26.9 16.2 44.7 161.9
"244084_at" 124 127.4 38.3 30.6 121.1 139.4 207.1 39.6 25.6 91.1 105 18.6 33 56.3 180.5 48 104.8 187.9 92 25.7 52.5 130.8 139 153.6 26.7 132.1 77.5 71 11.2 105.7 79.8 62.9 72.2 156.3 51.6 52.4 200.9 213.2 111.6 100 24.3 154.4 40.6 69.1 110.4 161.9 109.7 228 61.7 33.9 43.3 18.7 51.7 133.5 52 76.2 86.5 15.3 75.8 55.6 86.6 108.3 48.2 96 32.4 165.8 128.8 141.6 50.2 45 37.3 43.1 196.9 25.3 33.4 34 52.6 93.5 4.1 72.8 15.6 117.7 29.5 64.5 168.1 90.7 36.3 39.8 131.7 213.9
"201289_at" 299.9 427.4 515.5 632.4 602.5 580.8 490.7 770.1 565.1 670.9 374.5 1449 1009.6 1810.3 278.2 323.2 698.3 650.9 472.6 1582.8 867.5 239.8 333.1 892.6 3991.9 950.5 1002.9 1202.6 2550.4 2455.3 300.4 396.1 627.6 634.2 297 1544.8 533.1 1271.3 713.8 1382.8 2229 398.1 4767 1431.7 2074.7 364.8 1608 696.2 930.5 3124.6 522 2459.2 2507 742.8 1927.6 576.8 3729.1 586.9 469.6 594.7 717.8 2706 1225.6 508.3 2168.3 406.4 672 447 480.2 1421.4 628.3 803.7 280 1334.9 529.1 1055.3 1114.9 635.6 697.2 1351.2 996.8 660.5 811 1544.3 772.4 1096.1 630.4 663.5 375 447.6
"203349_s_at" 40.8 128.7 156.5 137.5 17.9 38.2 42.4 74.7 72.3 80 33.5 121.9 205.8 189.3 26.8 136.7 37.8 30.2 28.9 162.7 326.2 33.7 23.7 95.9 191 26.6 31.6 154.8 99.5 111.6 40.1 37.8 86.6 51.9 128.4 142.7 100.9 34.5 35.3 78.8 68.9 62.8 158.8 157.7 50.6 167.2 43.3 25.2 128.2 55.6 197.7 219.6 90.8 16.7 174.4 21.3 49.2 145.1 26.3 90.2 46.1 157.3 86.2 57.4 183.5 59.3 39.3 16.2 61.9 37.9 207.7 135.9 33.7 277.2 153.6 107.7 54.8 108 439.3 82.6 326.5 40.5 69.9 45.5 31 106.1 95.3 153.4 37.1 19
"209955_s_at" 229.8 136 289.2 281.6 140.7 59.5 239.6 182.8 262.2 199 97.6 615.9 262.5 435.5 47.4 82.9 122.5 153.9 83.1 257.4 64.7 1.5 11.9 262.6 1519.6 27.5 170.7 212.5 430.8 454.5 144 33.8 172.7 328 114.7 831.9 188 141.4 105.4 118.3 439.1 149.9 1061.9 419.9 136.2 107.9 220.8 84 370.8 67.9 211.1 821.9 606.7 175.1 257.5 64.9 598.4 45.8 331.5 438.7 163.7 630.3 227.3 45.6 610.4 132.9 124.2 58.8 242.5 302.1 230.1 228.7 72.7 215.5 120.4 91.5 127.3 197.1 185.1 611.1 180.3 131.5 119.7 264.2 47.8 351.2 212.1 385.5 241.8 39.3
"214844_s_at" 60.3 44.2 52.1 31.4 30.8 25.6 60.4 43.5 46.4 70.9 37.2 191.7 61.6 145 25 30.6 40.7 59.2 44.3 50.1 34.8 24.7 23.9 74.8 241.6 33.1 63.7 83.2 103.9 134.9 37.5 31.7 30.6 104.3 25.8 215.7 55 73.3 41.5 55.7 110.9 66.5 297.4 76.1 60.9 42.3 93 50.4 75.1 64.8 77.1 263.2 167.2 52.2 77.7 39.8 169 17.1 23.2 75.8 72.5 202.2 60.3 40 144.9 50.9 37.9 38.2 57.8 88.6 50.2 85.2 18 77.9 70.7 45.2 64.9 59.1 39.5 145.3 44.7 43.9 50 76.6 28 152.4 31.2 74.5 71.3 19.1
"231940_at" 132.6 259 45.2 95.8 244.7 161.8 194.1 120.6 29.2 183.2 217.6 195.6 129.3 191.9 199 126.5 206.3 149.2 211.3 68.1 40.6 283.8 231.2 37.1 164.4 228.7 131.2 110.6 148.6 200 129.8 230.4 54 62.7 165 226.5 312.4 302.7 318.8 236.5 198.9 174.5 216.2 188.2 279 167.6 180.5 154.1 71 164.9 52.2 106.6 316.2 147.4 156.9 126.4 83.1 25.5 284.7 249.2 131.4 381 42 295.4 185.3 248.5 79.3 269.6 98.3 114.8 88.6 219.1 135.3 48.2 129.1 139.4 121.6 70.9 35.9 188 117.3 216.6 35.4 44.8 222.1 241.2 22.7 69.5 130.7 200.1
"207202_s_at" 152.4 157.2 92.3 121.2 607 451 294.8 98.1 18.8 214.6 373.5 46 9.7 180.2 441.8 38 193.4 310.4 106.4 153.3 60 523.1 254 17.1 43 271.6 157.5 94.4 16.6 240.3 345.4 255 77.4 237.8 102.7 136.5 354.1 283.7 285.6 72.8 185.8 289 20.5 191.2 80.7 174.1 261 314.2 98 175.8 37.8 28.4 151.8 356.7 17.7 334 109.6 1.6 188.4 92.6 174.5 217.6 261.4 309.2 72.6 319.2 149 426.4 239.7 142.1 16.6 170.2 427.9 2.5 109.2 177.4 70.4 159.7 3.1 97.7 137.1 234 162.1 69.2 306.2 142.4 83.9 34 167.7 370.8
"204087_s_at" 305.7 301.2 115.7 102.1 354.5 318.1 264.9 115.9 92.6 244.4 222.3 142.5 68.3 275.8 316.2 178.5 273.2 357.8 136.4 167.9 138 144.8 390.4 168.4 51.6 261.9 455.6 134.1 102.5 177.2 622.3 372.3 146.5 596.7 343.1 104.6 404.4 337.4 475 318.7 134.4 298.6 115 108.9 94 796.8 499.5 623 170.2 181.5 118.3 61.6 123.9 199.3 63 375.6 115.9 170.6 110.7 122.7 812.3 165.5 85 454 83.4 248.7 103.4 432.4 101.3 256.9 190.1 140.2 228.3 151.4 164.6 343.5 174.7 706.1 110 295.6 110 262.1 438.1 115.1 660 491.8 122.8 91.2 217.6 586.8
"221530_s_at" 215.7 77.6 249.6 237.2 108.3 45.8 220.3 230.8 140.1 262.6 46.3 375.4 190.5 469.3 84.2 84.8 125.8 186.7 192.4 305.7 88.6 370.1 85.9 151 448.5 145.7 190.5 148.6 376.2 486.3 116 49 149.6 181.6 51.6 662 225.1 254.9 108.6 121.4 313.9 55.1 465.8 562.4 132.6 107 190.8 116.3 215.2 435.1 413.8 389.8 338.8 103.1 364.6 55 474.5 38.7 268.4 248.5 87.5 424.2 230.4 90.5 532.8 124 124.7 93.4 381.8 205.9 66.1 524.5 111.8 215.6 119.3 66.1 199.2 212 65.6 288.8 210.5 116.9 107.4 321.8 34.3 441.2 141.5 118.1 230.4 30
"203305_at" 93.3 120.4 196.8 84 47 76.4 235.6 389.7 21.8 255.7 62 786 346.5 484.4 105.7 19.5 52.2 75.1 130.2 134.4 96.1 54.5 106.8 381.5 389.4 159.3 125.4 109.5 456.1 317.3 84.1 60 178.8 248.7 59.5 404 121.9 354.3 63.3 263 331 112.6 588 221.3 470.4 212.6 72.7 56.6 143 633.6 201.6 627.9 319.5 162.4 437.8 95.5 688.7 37.5 27.8 115.3 78.4 586.7 226.1 118.7 1034.2 122.3 72.1 36.6 159.6 209.1 45.5 298.4 59.8 817.2 170.6 145.8 52.6 84.8 358.5 224.4 123 124.3 201.7 203.6 116.3 231.9 42.6 34.7 103.5 36.7
"209210_s_at" 439.1 315.6 313.7 331.8 366.7 363.6 478 397.4 423.7 459.6 297.3 1003.4 478.5 653.1 294.7 104.7 289.7 411.1 183 664.2 240.6 135.7 106.8 356.4 1390.7 249.6 430.7 381 930.9 825.8 360.9 154.8 297.6 569.3 157 1281.3 532.4 621.7 303.5 679.1 868.1 250.9 1260.9 730.6 535.1 238.3 550.9 403.3 623.6 857.2 450.5 964.6 999.4 340.6 1014.9 250.3 1098.2 149 211.8 523.6 738.6 1130.3 570.4 297.3 1355.6 386.9 411.8 371.1 698.8 946.1 367.9 789.4 191.1 282.8 453.3 451.8 461.7 370.1 191.4 960.1 457.9 379 383.3 538.1 247.7 533 227.1 516.6 536.3 211.7
"222837_s_at" 69.3 83.6 167.6 132.7 95.3 134.4 73.4 229.3 210 61.2 97.6 118.4 175.6 60.3 71.8 376.6 152.6 128.1 60.1 207.2 195 80.1 73.4 257.7 138.8 32.2 23.5 79.3 51.3 20.9 26.2 39.9 73.9 22 50.9 12.5 25 19.9 40.7 25.2 16.4 19.5 51 14.4 12.1 23.7 12.6 23.5 51 17.7 34.4 33.2 34.6 34.7 26.8 17.3 40.9 56 34.8 12.2 33.7 15 17.9 19.1 35.6 27.5 19.8 32.5 30.6 32.9 39 20.8 41.3 147 178 58.6 53 68.9 115.5 80.7 91.8 90.1 66.2 101.7 111 56.1 154.8 100.4 53.1 94.4
"213094_at" 119.1 78.3 280.1 258.7 74.5 77.3 70.9 396.3 252.6 62.8 106.7 110.7 438.5 74.3 74.8 144.7 51 87.9 157.1 185.7 196.9 200.7 100.7 80.2 25.6 43.4 72 195.5 460 47.3 18.5 77.4 122 34.4 103.6 79.5 35.6 44 15 46.6 42.1 26.5 202.5 117.7 47.1 41.3 62.5 30.8 89.7 32.2 164.1 79.7 20.8 90.2 100.5 67.9 89.7 25.3 49.4 33.7 42 41.8 119.9 49.6 65.1 71 157.9 23.9 103.2 66.2 149.8 344.6 116.9 265 75.3 54.2 121.2 83.4 256.3 49.7 338.2 108.8 46.3 356.7 152.1 22.7 347.2 297.9 204.7 51.7
"219179_at" 55.3 52 221.9 73.9 66.8 27.3 106.7 95.5 60 88.8 53.8 274.2 112.7 402 43.9 5 56.2 107.5 152.1 99.1 36 56.2 208.7 61 389.7 51.7 59.5 56.7 183.7 220.9 113.8 35.4 69.4 142.1 27.6 300.7 138.6 73.9 50.3 101.7 140.2 63 566.7 179.7 130.4 27.3 176.4 41.7 163.7 138.2 90.8 274.3 154.7 40.9 81.6 49.1 331.9 24.5 63.1 408.9 93 265.7 218.5 57.5 215.9 64.5 63.1 75.5 110.1 78.7 53.1 140.3 34.8 75.6 52.6 300 148.6 54.6 77.5 164.8 119.9 65.6 251.6 68.5 53.8 309.8 41.4 122 115.3 23.2
"242680_at" 27 18.9 26.8 62.7 15.1 78.5 20.8 36.9 63.1 24.9 23.8 60.8 54.6 40.9 17.1 34.5 18.4 11.5 13.9 68.3 45.4 9.6 27.6 64 142.5 15.4 10.8 38.3 48.2 36 29.1 11.2 37.3 30.2 36.8 40.8 13.5 35.8 17.6 26 36.9 29.1 52.5 52.8 29.2 34.2 19.8 17.8 52.3 37.9 28.2 118.6 63.2 18.4 106.8 27.8 123.7 126.2 13.2 33.5 27.7 113.9 28.1 8.4 117.9 24 29.3 8.8 55.5 61.1 32.8 39.4 19 54.5 35 36.8 54.3 49.6 79.9 41.5 69.2 16.1 43.8 58 23.6 14.5 45.1 89.3 21.2 10.2
"204646_at" 189.7 79.5 253.8 147.3 85.4 157.1 229.4 514.1 247.1 266 139.5 433.3 243.8 307.6 76.9 150.2 139 103 242.1 229.2 157.7 83.6 53 448.5 646.3 128.8 204.4 360.5 540 308.3 49.2 71.8 242.6 200.8 86.7 371.9 122.6 169.7 58 145.9 228 73.6 443 243.9 118.5 149 95.1 72.9 181.7 396.9 581.2 355.5 246.3 112.8 238.2 106.2 433.7 390.9 38.6 151.9 55.8 353.6 159 127.4 559.8 156.6 204.8 73.1 233.5 210.9 155.5 306.2 75 522.1 206 176 187.6 155 232.6 276.1 98.7 184.7 193.3 179.6 43.8 218.5 108.8 573.8 184.3 34.5
"244023_at" 78.6 88.7 39.2 29.2 83.3 61.7 92 28.8 29.1 75.6 38.9 40.3 26 225.4 95.6 21.8 108.8 74.5 135.5 29.3 34.1 109 272.4 29.3 44 78.7 64.8 45.1 61.5 77.3 102.4 98.4 51.8 82.5 43.5 149.3 101.5 111 103.9 157.8 153 76.9 31.6 100.4 69.3 154.4 57.3 65.5 24.6 100.2 29.5 45.3 249.6 124.9 35.5 96.5 69.1 49.8 157.7 89.3 175.8 296.2 57.3 100.1 83.6 185.4 79.1 148.7 60.7 66.6 35.6 122.9 55.6 32.2 12.5 72 50.4 79.8 45.7 43.9 15 62.6 137.8 31.6 101.3 111.8 19.4 50.7 112.4 64
"227862_at" 47.1 41.5 148.8 185.6 15.8 32.1 19.7 101 294.4 24 25.4 125.4 51 79.3 16.9 58.4 27.3 28.6 43.9 48.7 113.7 51.3 82 16 71.3 65.8 28.2 97 298.9 88.4 59.9 71.2 75.9 16.3 46.6 77.2 35.6 37.2 54.7 60.9 80.9 23.7 189.9 71.5 165 71.8 23.1 35.9 127.3 85.3 80.4 145.4 53.1 34.2 43.7 21.1 70.5 168.8 134.7 63.8 126.1 44.5 237.3 30.1 76.5 23.3 38.9 9.1 122.8 35.9 380.6 373.3 7.5 141.6 95 35.1 67.4 40.3 67.3 35.7 286.2 41.7 29.2 165.9 23.4 55.3 132.3 65.4 22 17.6
"219257_s_at" 46.2 27.9 223.6 136 55.5 28.9 48.3 63.1 86.6 47.9 33.1 79 77.2 93.8 18.2 39.1 45 55.3 30.3 119 35.5 34.1 2.7 121.4 240.6 21 54.3 63.3 102.5 106.2 45.8 14.5 64.7 82.6 42.2 178.9 56.6 33.7 38 37.4 96.4 51.3 198.8 106.7 49.9 40.9 57.4 23.2 139 46.6 50.8 79.2 68.1 42.8 111.8 16.6 165.4 39.7 1.5 135.8 34.3 81.1 67.7 19.2 92.2 38.3 45.8 25.1 48.9 60.9 187.1 65.6 27.2 153.9 115.5 32.6 51.9 90.7 76.3 164.4 99.7 63.2 74 107.7 26.4 78.3 55 181.2 118.6 23.2
"202207_at" 277.6 110.7 440.5 237.2 183.2 214.3 353 440 387.3 401.3 161.1 702.3 496.1 666 108.7 143.7 246.4 322.6 269.6 449.8 181.2 298 186 460.2 919.7 213.5 369.7 445.5 1884.4 659.2 171.7 176.6 289.2 516.9 126.6 1159.5 201.9 350.4 154.1 217.6 536.2 241.2 1044.1 636.4 345 199.1 378.5 184.9 509.3 502.9 419.6 931.2 709.4 375.5 475.9 211.9 1214 82.4 60 357.7 206 531.5 332.7 220.2 899.4 152.6 544.7 126 264.9 492.8 217.6 522.9 130.6 521.4 462.6 355 294.8 264.6 321.9 963.5 383.4 138 159.9 476.4 101.7 471.5 152.8 432.2 482.4 129.4
"204963_at" 176.5 100.4 109.3 49.5 109.4 57.3 185.1 191.5 156.1 213.6 98.2 340.1 117.6 272 55.6 54.2 118 143.5 242.1 147.2 58.2 182.8 63.4 113.8 530.6 92.7 147.3 82.8 404.9 336.4 105.6 53.7 96.3 193.9 76.4 462.5 217.6 191.8 84.8 166.2 311.8 125 402.1 251.7 124.1 76.2 199.7 111.8 103.9 248.1 275.9 469.2 600.2 150 150.6 102.8 304.6 12.2 110.4 128.8 122.9 490.6 168.5 97.9 461.7 153.2 103.8 79.9 202.3 216.1 81.5 241 85.4 111.4 101.4 80.5 189.7 153.5 55.3 268.3 91.6 145.8 136.4 133.7 51 313.6 91.2 163.9 228.2 26.3
"201313_at" 68.6 25.7 107.1 82.5 38.5 63.8 27 95 122.7 68.3 15.8 137.7 398.7 165.1 42.6 122.9 50.3 89.5 34.3 145.7 69.6 39 14.2 140.5 158.6 44.6 35 176 135.9 110.5 73 28.1 103.7 22.5 60.4 144.6 35.1 35.7 71 51.3 78.8 18.4 115.4 213.3 28.6 13.9 47.7 142.9 150 44.5 79.9 157.1 67.3 20.7 158.9 50.9 108.1 212 29.9 62 41.7 67.9 48.9 32.4 81.2 28.5 76.6 23.8 28 42.9 90.9 53.5 38.7 239.1 279.5 44.4 103 74.2 105.7 80.5 540.5 31.8 32 190.8 69.2 480.8 67 111.1 87.8 47
"227140_at" 552.1 384.5 565.3 1001.6 738.9 378.4 792.9 733.1 1168.9 668.5 363.6 1779.3 937.5 2290.2 293.4 358.1 340.5 1003 378.1 1298.8 226.3 80.1 102.5 1105.1 3037.2 237.9 882.9 742.6 1714.5 2433.3 691.2 208.8 534.2 1263.4 280.4 2773.2 949.4 725.1 607.9 685.6 2286.6 536.7 3024.2 1895.8 701.3 476.9 1303.8 513.2 1725.7 955.9 532.8 2204.9 2580.9 835.1 1273.6 412.6 4131.4 946.6 540.5 929.4 639.9 2320.4 1097.7 264.7 1996.9 874.2 756.7 554.4 768.5 1219.1 1328.2 960.3 449.3 774.4 764.1 657.7 987 608.8 1287.1 2011.5 1294.4 583 359.8 707.4 501 1139.1 433.6 1049.4 892.9 364
"1554195_a_at" 1.9 5.3 11.8 41.3 2.5 3.1 2.8 29.7 46.3 3 1.3 257.1 65.2 180.7 2.1 22.7 3 3.3 2.4 36.7 3.1 15.6 2 63.9 270.3 2.7 21.1 2.4 87.3 97.5 30.7 5.4 13.8 4 3.4 101.4 27.4 2.5 9.2 5.4 30.9 6.3 325.3 33.5 13.8 23.5 7 15 77.8 3.4 35.3 177 76.4 24.9 24.2 4.8 251 31.5 4.6 20.3 4.2 90 28.4 3.1 77.6 1.1 3.6 2.1 22.5 7.3 16.3 19.1 4 125.1 41.6 4.1 40.9 16 21.4 54.8 167.2 11.6 3.8 34.2 2.4 64.5 4.3 23.2 4.4 1.5
"204620_s_at" 1096.8 613.6 620.6 833.4 820.9 422.2 1108.8 926 734.1 1025.6 616.2 2787.4 1241.7 2335.9 520.6 291.5 515.2 1148.5 393.6 987 408.7 165 250.2 1607.2 3317.5 291.1 953.5 1105.2 2504.8 2541.7 982.8 301.1 499.5 1776 470.5 3460.6 777 1023.5 678.4 914.4 1579.4 965.5 3037.2 1697.8 702.5 510.2 2101.8 949 1297.4 902.4 989.8 2555.9 2444.2 452.2 934.6 413.4 3584.5 656 345.6 1289.5 1143.2 4416 1244.3 375.6 1988.8 1038.3 1072.4 656.6 1073.1 1260.1 746.7 1996 301.7 1252.8 799.8 1023.3 952.1 802.5 528.6 1439.5 968.7 723 710.3 1111.4 638.5 2358.4 466.1 851.9 1431.9 274.6
"202237_at" 644.9 552.9 1831.9 750.3 402.9 555.2 612.8 667.3 673.6 875.4 599.7 2749.3 871.7 1247 416.5 144.9 508 476.6 249.5 970 305.6 129.5 134.5 1154.5 3129.7 412.2 835.5 623.3 1689.9 1393.1 428.5 220.9 518.2 910 345.9 2170.4 650.2 681 398.8 560 1527 399.5 3579.5 1184.8 809.8 622.1 716.6 570.7 1260.8 1160.9 646.9 3686.4 2176.8 631.1 1408.7 644.2 3075.9 575.8 1241.5 1450.3 661.1 2201.5 645.5 356.8 2264.6 874.6 509.9 334.5 1240.4 1334.4 858.3 989.3 308.9 1893.4 581 876.6 755.3 594.4 715.6 1912.3 893.1 510 496.9 992 399.9 930 272.8 3389.5 659.4 265.6
"1569003_at" 124.8 186.3 99.2 149 247.6 324 410 178.2 107.3 604.3 154.1 166.7 117.9 408.5 286 70 241.9 302.4 312.6 129.4 90.2 323.9 293.2 132.8 219.5 334.2 245.1 187.1 232.9 526.2 278.1 366.6 106.4 339.2 135.9 341.8 178.6 267.5 473.9 293.7 251.2 311.9 386.4 270.7 253.9 560.5 488.4 275.1 148.1 354.9 92.5 438.4 696.1 463.7 263 700.9 426.8 137.6 395.2 370.7 263 409.9 284 325.8 279.7 470 156 327.2 176.5 266.8 151.4 182.6 51 181.7 38.5 185.5 169.6 198.8 187.3 339.6 46.8 216.1 289.8 150.1 248.7 221.6 57.5 124.2 277.1 178.8
"210231_x_at" 1024.1 894.7 2020.1 1960 1098.2 1395.6 961.2 2019.8 2481.9 995 1012.5 1573.4 1800.7 1341.8 1306.8 2678.9 1108.7 805.8 1099.8 2197.8 3400.9 1211 994.7 2023.5 811.9 892.9 621.3 2371.6 1705.5 664 907.8 786.8 2072.4 773.7 998.3 944.2 855.4 794.3 813.4 1076.3 984.3 620.4 1460.5 881.8 582.1 600.1 483.2 669.5 1399.4 713.2 1918.4 1880.5 1135 785.4 1140.8 715.2 766.9 2481.1 1300 1056.9 1032 927.7 1000.3 1058.9 1456.3 989.9 1571.6 1006.8 739.5 725.7 2424.8 1107 1128.1 3030 2725.1 1242 1492 1301.2 3776 1237.9 3177.3 1344.9 1720.3 2046.1 1501.4 1511.2 2344.4 1987.7 1252 1306.4
"203560_at" 2231.7 1171.3 824.4 485.8 1672.9 1915.3 2040.8 486.9 397.1 996.1 1118.1 762.3 783.1 1624.6 1759.3 1094.1 2577.2 1290.9 720.7 660.6 862.7 1014.1 1630.2 616.2 762.7 2073.9 1402.8 828.8 417.7 859.8 1499.8 1757.6 860.4 1190.6 807.6 963.1 1535.3 1930 1292.1 1833 618.5 1219.1 379 761.4 249 2040.3 738 1449.2 705.9 170.9 948.8 486 1902.7 1170.8 534.8 2227.3 956.2 490.8 1832 416.4 1317.1 1205.2 777.1 1464.2 549.6 1847.1 1008.4 2006 1173.2 2845.1 1495.6 278.4 2122.3 356.6 677.3 1661.1 1086 1082.8 1777.4 1259.6 562.5 1718.6 1453.7 624.8 1376.2 1000.4 972.5 553.4 692.5 1590.8
"226459_at" 234.1 108.9 587.6 732.5 257.4 497.9 239 624.7 422.8 269.4 118.7 535.4 397.7 466.4 117 292.3 266.3 175.6 312.2 383 377.8 150.8 151 510.5 643.2 181.5 682.1 311.1 708.1 302.7 211.4 141.2 567.5 254.8 185.8 836 221.7 226.4 150.5 257 295.6 192.4 739.5 413.9 575.3 447.1 236.7 136.7 619 581.4 622.6 584.5 257.4 209.6 250 176.5 855.3 716.4 202.6 652.7 137.8 280.8 444.3 299.9 798.3 250.7 417.6 155.6 381.5 512.5 470.7 533.9 267.7 900.5 511 221.4 261.9 230.9 428 266.3 367.1 247.7 317.2 506.9 119.6 219.1 240.6 685.3 203 99.2
"214257_s_at" 648.6 729.5 289.3 375.1 721.9 538.6 695.8 365.2 304.9 643.9 947.4 554.3 333.1 589.7 705.2 232.1 600.4 551.1 843.6 376 409.1 711.4 539.4 374.8 1050.6 603 544.6 303.7 337.4 536.2 608.8 580.6 245.2 650.2 490 431.2 497.4 404.4 504.4 469.9 502.3 547.7 565 544.5 729 635 322.2 647.4 239.5 672.3 291 437.7 509.3 611.4 530.6 522.3 709.6 191.8 851.2 645.2 495 617.2 703.3 548.6 521.6 599.7 441.5 651.8 621.7 549.8 310.4 633 453.4 360.6 198.1 425.1 815.3 447.6 387.6 613.5 231.5 337.6 398.4 237.5 372.9 386.4 148.9 308 412.5 400
