"GSM820048" "GSM820049" "GSM820050" "GSM820051" "GSM820052" "GSM820053" "GSM820054" "GSM820055" "GSM820056" "GSM820057" "GSM820058" "GSM820059" "GSM820060" "GSM820061" "GSM820062" "GSM820063" "GSM820064" "GSM820065" "GSM820066" "GSM820067" "GSM820068" "GSM820069" "GSM820070" "GSM820071" "GSM820072" "GSM820073" "GSM820074" "GSM820075" "GSM820076" "GSM820077" "GSM820078" "GSM820079" "GSM820080" "GSM820081" "GSM820082" "GSM820083" "GSM820084" "GSM820085" "GSM820086" "GSM820087" "GSM820088" "GSM820089" "GSM820090" "GSM820091" "GSM820092" "GSM820093" "GSM820094" "GSM820095" "GSM820096" "GSM820097" "GSM820098" "GSM820099" "GSM820100" "GSM820101" "GSM820102" "GSM820103" "GSM820104" "GSM820105" "GSM820106" "GSM820107" "GSM820108" "GSM820109" "GSM820110" "GSM820111" "GSM820112" "GSM820113" "GSM820114" "GSM820115" "GSM820116" "GSM820117" "GSM820118" "GSM820119" "GSM820120" "GSM820121" "GSM820122" "GSM820123" "GSM820124" "GSM820125" "GSM820126" "GSM820127" "GSM820128" "GSM820129" "GSM820130" "GSM820131" "GSM820132" "GSM820133" "GSM820134" "GSM820135" "GSM820136" "GSM820137"
"206858_s_at" 5.5 9.8 106.6 640.5 14.2 35.1 1.9 135 127.5 110.2 2.4 239.6 247.2 271.8 10.8 31.8 8.9 12.2 56.8 83.8 63 10.8 7.3 59.6 384.8 6.5 4.6 281.6 385.3 75.5 40.9 9.7 78.8 25.9 318.8 91 6.9 32.5 43.8 322.5 103.4 15 198 117.3 51.3 30.7 8.7 6.8 113.9 153.7 8.3 187.5 13.8 62.4 294.1 12.6 124.3 482.7 14.5 25.3 14.7 131.3 15.9 3.2 248.8 22.1 33 11.1 26.9 6.6 684.4 260 7.9 362.7 44.2 20.8 61.8 73.4 384.1 237.4 550.1 8.6 21.5 169 18.8 55.2 271.6 78.8 108.9 14.8
"206101_at" 65.4 42 63.5 68.8 39.4 107.1 89.3 105.2 73.9 71 68.2 256.9 131.7 178.1 37.1 19 46 102.7 64.6 72.7 19.9 31.9 44.4 90.2 470 50.6 84.4 59.3 198.9 311.2 127.8 36.3 55.6 58 33.5 261.9 72.7 93.9 27.1 77.5 139.6 54.6 469.3 104.3 81 42.6 42.7 41.4 123.6 107.9 90 384.2 245 70.4 114.2 47.8 322.6 19.4 14.2 69.9 36.5 387.1 84 33.6 251.3 55.3 30.7 35.9 78.7 88.3 38 188 32.9 65.9 62.3 94.6 177.6 37.4 44.4 89.8 117.1 55.3 92.2 81 36.2 192.1 55.2 92.2 80.2 35.7
"218807_at" 946 1830.3 79.3 62.8 2189.2 335.7 1236.4 205.6 83.5 643.5 1450.6 249.3 63.5 375.2 738.9 593.3 1109.1 444.6 1221.1 133 266.5 830.1 1654.9 539.7 115.5 1121.4 1053.1 282.4 122.8 554.7 1285 1231.2 289.7 1749.9 749.1 252.6 2462 988.1 1953.8 1222.2 811.7 1128.7 125.5 947.9 539.7 1681 932.7 2109.8 522.7 849.3 125 74.6 549.1 859.8 846.7 1592.3 266.9 43.5 102.4 874.2 2996.7 1244.8 495.4 1891.7 457.2 3215.7 732.5 1771.5 522 1286.6 124.1 310.3 1352.4 80.8 1001 864.5 851 1226 47 753.6 36.6 592 748.9 395.4 1313 2057.7 136.3 142.5 829.1 1358.5
"222379_at" 53.9 28 30.9 50.8 17.9 93.7 38.7 50.1 44 50.7 38.3 169.2 74.9 77.3 23.4 17.7 31.1 46.8 14.7 54.1 31 11.4 26.4 52.8 213.5 24.6 40.1 51 103.6 111.5 36 22 36.4 51 24.7 194.1 53.7 48.6 27.3 54.6 85.4 43 372.9 84 40.5 47.5 40.1 44.6 92 68 46.7 216.6 148.9 37.8 122.5 33.6 262.4 44.6 27.6 57.9 52.1 191.2 57.3 20.2 193.3 53.7 49 26.4 54.1 80.1 58.3 79.2 31.5 87.1 63.6 69.6 68.5 30 49.7 89.9 70.3 46.4 29.5 68.4 30.6 124.8 31.5 68.8 57.3 16.8
"204337_at" 57 35.9 25.9 22.7 53.2 26.7 28 59.9 87.7 28.5 27.3 179.4 42.9 167.2 16.6 29.1 19.8 66.5 35.9 60.4 42.6 10.8 12.7 50.3 213.2 18.3 51.3 85 195 129.3 41.6 15.5 48.6 65.4 34.2 95 37.2 66.5 28.2 78.6 137.6 41 354.6 84.2 50.6 23 41.2 21.9 82.6 50.5 44.7 291.9 366.9 27.1 74.3 31.7 275.5 12.7 38.8 66.1 25.8 165 54.6 46.1 118 16.1 48.1 19.6 63.2 80.5 69.2 92.5 6.7 34.3 65 24.7 79.3 29.9 35.9 143.6 71.6 38.9 29.8 107.7 36.4 102.8 40.3 57.8 43.3 15.5
"235589_s_at" 254.4 188.8 129.6 86.2 405.5 204.6 357.7 150.6 64.3 324.2 357.1 218.9 117.7 516.2 405.1 47.3 411.9 601.5 405.2 144 121.7 390 316.4 125.4 248.8 231.4 253.5 82.2 196.6 158.1 320.1 254.3 146.7 329.9 213.3 258.1 301.4 287.3 304.3 331.3 265.1 179.7 110.6 338 280.5 259.9 228.7 255 60.1 321.9 88.1 140.8 307.7 289.2 215.5 292.8 237.5 294.2 373.7 374.7 288.1 286.3 229.9 274.8 231.2 385.4 240.2 250.3 224.9 203.5 92.6 231.9 148.8 145.4 64.4 314.9 217.9 212 147.4 251.2 63.7 157.9 145.5 103.6 190.4 241.7 47.5 134.4 206.2 154.5
"205226_at" 24.2 27.5 44.2 47 24.1 1.8 33.2 19.7 29.2 17.9 18.3 343.9 36.3 72 13.4 33.2 20 10.3 16.1 22.1 9.3 3.1 6.2 58.4 328.6 13.9 17.4 52.2 131 100.1 25 34.5 36.6 36 16.8 115.2 23.2 47.1 16 24.9 54.2 28.8 311.9 32.5 100.8 16.1 9.4 19.1 56.6 18 80.6 176.8 143.9 33.7 268 8.9 273.8 8.9 27.2 32.8 43.6 239 16.6 0.9 69.8 22.4 20.1 23.9 35.9 55.1 55.3 37.5 6.8 42.5 23.5 34 36.2 22.6 22.6 60.6 48.9 9.4 46.9 72.8 7.5 69.6 11.7 23.6 33.3 2.4
"218704_at" 386.3 830.7 86.8 86.6 1047.4 518.4 663.9 101.1 264.9 846.2 451.5 132 105.6 634 794.8 258.6 660.2 748.6 374.8 166.9 325.4 568.7 1170.8 373.6 125.6 703.6 450.1 107.6 108.9 779.8 974.5 536.1 246.6 1162.1 555 497.6 1048.6 895.8 1173.4 602.2 229.8 868.1 98.2 356.7 102.1 1046.6 1393.2 801.2 176.6 160 128.8 71.4 1024.4 370.8 45.1 773.8 178.7 320.1 303 134.3 1338.6 851.7 265.5 789.8 75.6 1055.2 603.8 806.6 230.9 377.2 65.1 116.4 632.3 9.8 384.8 860.5 336.2 991.5 149.1 776.9 354.9 937.1 1241.2 261.6 774 915.9 163.4 83.1 750.2 905.1
"213800_at" 75.4 63.4 77 60.2 71.3 90.9 115 63.9 69.7 114.6 94.4 250.8 109.9 122.1 50.4 20.1 80.1 61.2 76 92.9 37.1 48.7 33.5 90.1 303.7 98.8 71.5 79.2 246.4 195.5 48 41.2 57.8 118.4 50.7 305.5 87.3 110.3 51.3 96.9 209.5 89.8 365.9 146.6 207.4 61.1 103.8 62.3 104.2 327.7 178.2 499.3 415.9 82.3 292.5 84.9 339.5 185.1 61.6 91.6 73.1 376.1 84.3 78.9 350 96.7 76.5 54.9 255.4 246 93.5 254.1 45.7 169.6 42.1 78.8 102.1 82.1 73.1 125.5 56.4 78.5 49.6 114.8 41.8 139.8 41.4 242.9 186.9 25.1
"226805_at" 247.3 298 77.5 62.8 307.8 168.8 348.1 75.3 112.8 343.6 159.8 70.1 72.6 166.8 262 125.1 327.1 315.5 211.1 123.8 90.3 128.4 261.2 111.2 80.2 297.6 214.5 92.8 104.3 124.7 553.6 156 122.3 295.6 124.9 119.4 285.9 189.6 327 233.4 88.1 331.7 68 116.1 175.1 350.5 452.9 211.4 170.5 113.3 76.7 98.6 156.2 150.6 115 210.6 91.5 118.8 141.5 96.8 302.3 140.9 215.7 366.1 112.9 544.2 99.6 320.8 126.3 103.4 127.8 95 345.1 61.8 126.3 357.5 156.9 269.1 50.6 130.2 79.1 261.5 372.2 92.9 555.7 231.6 102.5 123.1 101.5 555.9
